order_id,order_date,customer_id,category,product,quantity,unit_price,region,payment_method,total_price
ORD1350,2026-04-03,1057,Books,Textbook,2,500250.0,Tehran,Online,1000500.0
ORD1596,2026-03-08,1171,Electronics,Tablet,1,14375329.0,Tabriz,Cash,14375329.0
ORD1060,2026-02-15,1091,Clothing,Jeans,5,785750.0,Shiraz,Cash,3928750.0
ORD1691,2026-05-12,1094,Clothing,Running Shoes,4,2173753.0,,Cash,8695012.0
ORD1399,2026-03-18,1123,Clothing,Running Shoes,4,2289599.0,Mashhad,Online,9158396.0
ORD1013,2026-01-15,1161,Clothing,Jacket,3,1430961.0,Mashhad,Cash,4292883.0
ORD1034,2026-01-14,1206,Sports,Tennis Racket,4,2041552.0,Tehran,Cash,8166208.0
ORD1351,2026-02-21,1076,Electronics,Smart Watch,4,6342230.0,Tabriz,Online,25368920.0
ORD1614,2026-01-13,1010,Books,Comic Book,1,158965.0,Tehran,Online,158965.0
ORD1411,2026-05-24,1266,Sports,Tennis Racket,3,2036818.0,Mashhad,Online,6110454.0
ORD1053,2026-06-12,1250,Beauty,Shampoo,1,233897.0,Isfahan,Online,233897.0
ORD1454,2026-07-01,1219,Clothing,Hat,2,234447.0,Tabriz,Online,468894.0
ORD1094,2026-03-25,1142,Sports,Dumbbell Set,1,2608386.0,Isfahan,Credit Card,2608386.0
ORD1538,2026-03-28,1069,Beauty,Lipstick,2,376993.0,Isfahan,Credit Card,753986.0
ORD1159,2026-02-07,1210,Home & Kitchen,Vacuum Cleaner,1,4664315.0,Mashhad,Online,4664315.0
ORD1148,2026-05-29,1228,Beauty,Shampoo,3,204212.0,Shiraz,Cash,612636.0
ORD1063,2026-02-28,1098,Sports,Dumbbell Set,-1,2442701.0,Mashhad,Cash,-2442701.0
ORD1686,2026-04-23,1015,Books,Novel,1,252864.0,Shiraz,Credit Card,252864.0
ORD1327,2026-03-12,1293,HOME & KITCHEN,Cookware Set,1,3257201.0,Isfahan,Cash,3257201.0
ORD1797,2026-01-18,1148,Home & Kitchen,Cookware Set,1,3233348.0,Mashhad,Cash,3233348.0
ORD1294,2026-01-24,1086,beauty,Shampoo,2,206872.0,Tabriz,Online,413744.0
ORD1825,2026-05-15,1131,BEAUTY,Lipstick,2,405527.0,Tabriz,Online,811054.0
ORD1046,2026-03-22,1160,Beauty,Sunscreen,2,436443.0,Isfahan,Cash,872886.0
ORD1547,2026-04-07,1295,Sports,Tennis Racket,1,1952158.0,Tehran,Credit Card,1952158.0
ORD1844,2026-01-15,1222,Electronics,Smart Watch,1,5662716.0,Isfahan,Credit Card,5662716.0
ORD1242,2026-01-26,1269,Clothing,T-Shirt,1,373232.0,Tabriz,Online,373232.0
ORD1518,2026-02-26,1205,Electronics,Laptop,3,26949104.0,Mashhad,Cash,80847312.0
ORD1022,2026-01-28,1259,Books,Cookbook,2,290022.0,Isfahan,Online,580044.0
ORD1396,2026-01-11,1290,Books,Novel,4,264336.0,Mashhad,Cash,1057344.0
ORD1125,2026-02-14,1080,Home & Kitchen,Blender,1,1779007.0,Tabriz,Cash,1779007.0
ORD1222,2026-03-21,1170,Books,Novel,1,233746.0,Isfahan,Cash,233746.0
ORD1017,2026-01-24,1078,Clothing,Jeans,2,803168.0,Tehran,Cash,1606336.0
ORD1336,2026-02-14,1018,Beauty,Skincare Cream,4,739811.0,Shiraz,Cash,2959244.0
ORD1840,2026-04-02,1135,Clothing,T-Shirt,1,322733.0,Mashhad,Cash,322733.0
ORD1594,2026-02-26,1243,Clothing,Jacket,3,1595229.0,Tabriz,Online,4785687.0
ORD1164,2026-03-19,1247,BEAUTY,Shampoo,2,205578.0,Mashhad,Credit Card,411156.0
ORD1466,2026-04-20,1067,Clothing,Running Shoes,2,2124570.0,Mashhad,Online,4249140.0
ORD1430,2026-01-22,1072,Electronics,Headphones,1,1131454.0,Tehran,Online,1131454.0
ORD1786,2026-02-02,1087,Beauty,Shampoo,1,222935.0,Mashhad,Online,222935.0
ORD1352,2026-04-24,1105,Clothing,Jacket,4,15380860.0,Tehran,Online,61523440.0
ORD1551,2026-06-17,1222,Beauty,Skincare Cream,1,739444.0,Mashhad,Online,739444.0
ORD1278,2026-06-23,1190,Books,Novel,2,258078.0,Shiraz,Credit Card,516156.0
ORD1565,2026-01-21,1075,CLOTHING,Jeans,1,811509.0,Shiraz,Cash,811509.0
ORD1270,2026-05-08,1265,Sports,Dumbbell Set,5,2623744.0,Shiraz,Credit Card,13118720.0
ORD1418,2026-06-27,1124,Sports,Dumbbell Set,1,2569007.0,Shiraz,Online,2569007.0
ORD1608,2026-05-09,1085,Home & Kitchen,Sofa,1,12006561.0,Tabriz,Credit Card,12006561.0
ORD1563,2026-01-09,1264,Sports,Dumbbell Set,1,2305817.0,Tabriz,Online,2305817.0
ORD1435,2026-04-29,1094,Clothing,Jacket,2,1548232.0,Mashhad,Credit Card,3096464.0
ORD1799,2026-05-17,1052,Home & Kitchen,Blender,1,1921679.0,Tehran,Cash,1921679.0
ORD1153,2026-01-04,1079,Electronics,Smart Watch,4,5989874.0,Mashhad,Credit Card,23959496.0
ORD1498,2026-03-23,1292,Clothing,Jacket,1,1613854.0,Isfahan,Cash,1613854.0
ORD1487,2026-04-11,1033,Clothing,Jeans,2,771963.0,Tabriz,Online,1543926.0
ORD1717,2026-05-03,1082,Beauty,Skincare Cream,2,752083.0,Shiraz,Cash,1504166.0
ORD1543,2026-01-20,1163,Electronics,Tablet,1,14384609.0,Mashhad,Credit Card,14384609.0
ORD1779,2026-03-29,1162,Sports,Football,-1,613550.0,Mashhad,Credit Card,-613550.0
ORD1578,2026-05-15,1088,Beauty,Sunscreen,1,449432.0,Tabriz,Cash,449432.0
ORD1843,2026-01-25,1153,SPORTS,Bicycle,3,9127055.0,Tabriz,Online,27381165.0
ORD1826,2026-01-19,1251,ELECTRONICS,Headphones,1,1170498.0,Tehran,Cash,1170498.0
ORD1834,2026-03-25,1220,Home & Kitchen,Lamp,5,899764.0,Isfahan,Credit Card,4498820.0
ORD1146,2026-05-11,1141,sports,Yoga Mat,4,457888.0,Mashhad,Cash,1831552.0
ORD1422,2026-06-18,1216,Clothing,Jacket,1,1401889.0,Mashhad,Online,1401889.0
ORD1423,2026-06-03,1205,Sports,Football,1,5994640.0,Shiraz,Online,5994640.0
ORD1788,2026-06-28,1233,Home & Kitchen,Lamp,1,894528.0,Tabriz,Cash,894528.0
ORD1500,2026-04-30,1167,Electronics,Tablet,1,14443882.0,Isfahan,Credit Card,14443882.0
ORD1358,2026-04-07,1276,Home & Kitchen,Cookware Set,1,3425397.0,Shiraz,Cash,3425397.0
ORD1623,2026-06-14,1151,Beauty,Skincare Cream,4,698266.0,Mashhad,Credit Card,2793064.0
ORD1375,2026-01-19,1286,Beauty,Sunscreen,2,436966.0,Mashhad,Online,873932.0
ORD1305,2026-03-20,1046,Books,Textbook,2,538068.0,Shiraz,Cash,1076136.0
ORD1552,2026-02-22,1283,Clothing,T-Shirt,1,352906.0,Mashhad,Credit Card,352906.0
ORD1261,2026-05-15,1259,Books,Biography,1,301954.0,Tabriz,Online,301954.0
ORD1381,2026-02-26,1133,Sports,Football,2,618886.0,Mashhad,Cash,1237772.0
ORD1480,2026-03-03,1057,Home & Kitchen,Blender,3,1837266.0,Shiraz,Credit Card,5511798.0
ORD1168,2026-06-18,1049,Books,Biography,2,259426.0,Mashhad,Online,518852.0
ORD1610,2026-06-25,1250,Books,Comic Book,1,138943.0,Mashhad,Credit Card,138943.0
ORD1232,2026-02-08,1052,Home & Kitchen,Lamp,2,911074.0,Tehran,Credit Card,1822148.0
ORD1110,2026-05-06,1047,Beauty,Lipstick,2,367216.0,Shiraz,Cash,734432.0
ORD1676,2026-05-13,1260,Beauty,Shampoo,1,206343.0,Isfahan,Online,206343.0
ORD1417,2026-02-21,1090,Home & Kitchen,Lamp,4,875327.0,Shiraz,Credit Card,3501308.0
ORD1725,2026-05-10,1049,Electronics,Laptop,1,26367315.0,Shiraz,Cash,26367315.0
ORD1810,2026-01-11,1243,Sports,Yoga Mat,1,484908.0,Tabriz,Online,484908.0
ORD1587,2026-04-30,1266,Home & Kitchen,Cookware Set,1,3009986.0,Isfahan,Online,3009986.0
ORD1330,2026-05-18,1139,Beauty,Lipstick,1,371243.0,Isfahan,Online,371243.0
ORD1508,2026-05-10,1201,Sports,Football,2,643180.0,Mashhad,Online,1286360.0
ORD1645,2026-04-06,1084,Home & Kitchen,Vacuum Cleaner,2,4781179.0,Tehran,Cash,9562358.0
ORD1702,2026-05-29,1108,Electronics,Smart Watch,2,5843140.0,Tabriz,Credit Card,11686280.0
ORD1127,2026-06-29,1119,Clothing,Jacket,3,1586575.0,Shiraz,Cash,4759725.0
ORD1403,2026-04-26,1182,Electronics,Headphones,3,1262679.0,Shiraz,Cash,3788037.0
ORD1692,2026-02-19,1290,Clothing,Hat,3,250304.0,Tehran,Cash,750912.0
ORD1426,2026-06-15,1220,Clothing,Hat,1,,Shiraz,Credit Card,
ORD1048,2026-05-25,1275,electronics,Laptop,2,25186841.0,Tehran,Cash,50373682.0
ORD1220,2026-02-13,1185,Sports,Football,5,615130.0,Tabriz,Credit Card,3075650.0
ORD1271,2026-01-21,1092,Home & Kitchen,Blender,3,1889312.0,Shiraz,Online,5667936.0
ORD1835,2026-05-25,1192,Beauty,Shampoo,2,,Tabriz,Cash,
ORD1562,2026-05-18,1120,sports,Bicycle,1,8005465.0,Shiraz,Online,8005465.0
ORD1388,2026-06-13,1249,Sports,Dumbbell Set,1,2600245.0,Tabriz,Credit Card,2600245.0
ORD1808,2026-01-14,1120,sports,Dumbbell Set,1,2480335.0,Mashhad,Cash,2480335.0
ORD1015,2026-02-05,1287,Sports,Tennis Racket,1,1803754.0,Mashhad,Online,1803754.0
ORD1653,2026-02-04,1262,HOME & KITCHEN,Vacuum Cleaner,2,4676716.0,Mashhad,Credit Card,9353432.0
ORD1387,2026-02-08,1258,clothing,Jeans,1,758712.0,Tehran,Cash,758712.0
ORD1685,2026-05-09,1154,Electronics,Laptop,1,25227051.0,Tehran,Credit Card,25227051.0
ORD1735,2026-04-16,1247,Beauty,Lipstick,3,,Tabriz,Online,
ORD1672,2026-02-26,1169,Books,Textbook,1,466418.0,Mashhad,Online,466418.0
ORD1591,2026-03-03,1206,Clothing,Jeans,2,818031.0,Tehran,Online,1636062.0
ORD1397,2026-01-20,1288,Sports,Dumbbell Set,1,2471597.0,Isfahan,Online,2471597.0
ORD1259,2026-02-06,1000,Beauty,Sunscreen,2,420996.0,Isfahan,Credit Card,841992.0
ORD1784,2026-05-15,1134,Electronics,Laptop,3,23726390.0,Tehran,Cash,71179170.0
ORD1256,2026-06-05,1056,Clothing,Hat,4,267446.0,Tabriz,Credit Card,1069784.0
ORD1138,2026-01-30,1000,Electronics,Headphones,1,1173816.0,Shiraz,Online,1173816.0
ORD1054,2026-04-19,1001,Home & Kitchen,Blender,1,1828195.0,Isfahan,Cash,1828195.0
ORD1205,2026-05-24,1285,Books,Cookbook,3,276441.0,Tabriz,Online,829323.0
ORD1442,2026-03-03,1093,Beauty,Perfume,1,1567813.0,Isfahan,Cash,1567813.0
ORD1253,2026-01-26,1070,Home & Kitchen,Sofa,1,11648490.0,Isfahan,Cash,11648490.0
ORD1237,2026-03-27,1072,Beauty,Sunscreen,4,415750.0,Tehran,Online,1663000.0
ORD1022,2026-01-28,1259,Books,Cookbook,2,290022.0,Isfahan,Online,580044.0
ORD1783,2026-01-25,1280,Clothing,Jeans,1,,Tehran,Credit Card,
ORD1360,2026-01-06,1278,Beauty,Perfume,3,1571371.0,Isfahan,Credit Card,4714113.0
ORD1299,2026-01-16,1212,Home & Kitchen,Cookware Set,1,2987697.0,Mashhad,Credit Card,2987697.0
ORD1743,2026-01-09,1264,Clothing,Hat,1,250108.0,Tabriz,Online,250108.0
ORD1674,2026-03-30,1124,Beauty,Skincare Cream,1,689964.0,Shiraz,Cash,689964.0
ORD1347,2026-03-17,1113,BEAUTY,Skincare Cream,2,649074.0,Isfahan,Online,1298148.0
ORD1367,2026-06-19,1211,Clothing,Jacket,4,1597284.0,Tabriz,Cash,6389136.0
ORD1846,2026-03-23,1076,Electronics,Headphones,2,,Tabriz,Online,
ORD1179,2026-05-18,1232,Electronics,Laptop,1,235500830.0,Mashhad,Credit Card,235500830.0
ORD1142,2026-07-01,1282,Beauty,Sunscreen,3,449801.0,Mashhad,Credit Card,1349403.0
ORD1050,2026-05-20,1270,Home & Kitchen,Sofa,1,12901602.0,Isfahan,Online,12901602.0
ORD1682,2026-02-28,1198,BOOKS,Novel,2,236835.0,Isfahan,Credit Card,473670.0
ORD1558,2026-04-05,1095,Electronics,Smart Watch,1,6244931.0,Shiraz,Credit Card,6244931.0
ORD1722,2026-04-16,1298,Sports,Yoga Mat,1,418787.0,Tabriz,Cash,418787.0
ORD1081,2026-05-24,1226,clothing,Running Shoes,2,2243400.0,Tabriz,Credit Card,4486800.0
ORD1569,2026-01-26,1051,Clothing,Hat,2,243930.0,Tehran,Online,487860.0
ORD1593,2026-01-10,1292,Sports,Tennis Racket,1,1853082.0,Tabriz,Online,1853082.0
ORD1613,2026-01-10,1130,Electronics,Headphones,3,1119697.0,Shiraz,Online,3359091.0
ORD1066,2026-06-02,1160,Books,Biography,-1,263913.0,Shiraz,Credit Card,-263913.0
ORD1658,2026-05-14,1195,Home & Kitchen,Cookware Set,3,3274709.0,Tehran,Cash,9824127.0
ORD1009,2026-01-21,1194,Electronics,Mobile Phone,3,18599249.0,Mashhad,Cash,55797747.0
ORD1618,2026-06-08,1058,Sports,Football,2,629395.0,Tehran,Credit Card,1258790.0
ORD1511,2026-02-21,1055,Home & Kitchen,Sofa,1,11843026.0,Mashhad,Online,11843026.0
ORD1355,2026-04-12,1111,Beauty,Shampoo,3,225013.0,Isfahan,Cash,675039.0
ORD1638,2026-03-02,1227,Books,Textbook,1,481539.0,Tehran,Credit Card,481539.0
ORD1503,2026-03-04,1209,Beauty,Sunscreen,3,472593.0,Mashhad,Cash,1417779.0
ORD1706,2026-02-05,1091,Books,Cookbook,3,291472.0,Shiraz,Cash,874416.0
ORD1473,2026-03-18,1068,Electronics,Headphones,1,1275099.0,Mashhad,Credit Card,1275099.0
ORD1711,2026-03-09,1291,Beauty,Shampoo,3,223366.0,Tabriz,Online,670098.0
ORD1625,2026-01-30,1004,Beauty,Shampoo,1,215385.0,Tehran,Cash,215385.0
ORD1452,2026-06-17,1016,Sports,Football,3,592725.0,Mashhad,Credit Card,1778175.0
ORD1064,2026-01-18,1260,Sports,Dumbbell Set,1,2412373.0,Isfahan,Credit Card,2412373.0
ORD1760,2026-05-28,1093,Books,Biography,2,264395.0,Isfahan,Credit Card,528790.0
ORD1409,2026-01-07,1283,books,Comic Book,1,140190.0,Tehran,Credit Card,140190.0
ORD1590,2026-03-12,1152,Home & Kitchen,Vacuum Cleaner,2,4239955.0,Isfahan,Online,8479910.0
ORD1827,2026-01-16,1212,Electronics,Tablet,3,13657175.0,Isfahan,Online,40971525.0
ORD1838,2026-02-26,1011,Home & Kitchen,Blender,1,1823209.0,Mashhad,Credit Card,1823209.0
ORD1673,2026-06-08,1287,home & kitchen,Vacuum Cleaner,1,,,Credit Card,
ORD1472,2026-02-28,1052,Beauty,Perfume,2,1483048.0,Shiraz,Cash,2966096.0
ORD1272,2026-01-21,1151,Books,Biography,1,296444.0,Isfahan,Online,296444.0
ORD1660,2026-01-16,1277,Beauty,Shampoo,1,214934.0,Isfahan,Cash,214934.0
ORD1296,2026-01-08,1295,Books,Novel,3,260799.0,Tehran,Cash,782397.0
ORD1586,2026-03-20,1192,Clothing,Jacket,2,1398207.0,Isfahan,Credit Card,2796414.0
ORD1809,2026-02-12,1061,Beauty,Lipstick,1,356484.0,Isfahan,Online,356484.0
ORD1357,2026-04-15,1215,Electronics,Tablet,1,14192137.0,Mashhad,Cash,14192137.0
ORD1814,2026-03-30,1098,Home & Kitchen,Lamp,3,953265.0,Shiraz,Online,2859795.0
ORD1470,2026-05-03,1115,Beauty,Skincare Cream,1,645361.0,Tehran,Cash,645361.0
ORD1299,2026-01-16,1212,Home & Kitchen,Cookware Set,1,2987697.0,Mashhad,Credit Card,2987697.0
ORD1709,2026-04-03,1232,Beauty,Perfume,2,1646464.0,Shiraz,Credit Card,3292928.0
ORD1051,2026-06-19,1135,electronics,Smart Watch,1,6264127.0,Tehran,Cash,6264127.0
ORD1186,2026-03-01,1001,Books,Cookbook,3,315226.0,Isfahan,Cash,945678.0
ORD1572,2026-04-13,1169,Books,Comic Book,2,147517.0,Tehran,Credit Card,295034.0
ORD1228,2026-03-19,1028,Electronics,Tablet,1,14878184.0,Isfahan,Online,14878184.0
ORD1627,2026-04-13,1139,Home & Kitchen,Vacuum Cleaner,1,4678179.0,Shiraz,Credit Card,4678179.0
ORD1302,2026-02-01,1126,Electronics,Headphones,1,1207801.0,Isfahan,Credit Card,1207801.0
ORD1694,2026-05-29,1182,Home & Kitchen,Blender,1,1689073.0,Shiraz,Credit Card,1689073.0
ORD1188,2026-04-02,1165,Beauty,Skincare Cream,1,703320.0,Mashhad,Online,703320.0
ORD1507,2026-05-14,1190,Electronics,Laptop,4,26290148.0,Shiraz,Online,105160592.0
ORD1419,2026-04-11,1288,Home & Kitchen,Cookware Set,1,3329215.0,Isfahan,Cash,3329215.0
ORD1804,2026-01-04,1127,CLOTHING,Jacket,3,1481791.0,Tehran,Online,4445373.0
ORD1751,2026-04-07,1124,Books,Biography,2,299704.0,Tabriz,Credit Card,599408.0
ORD1316,2026-04-05,1056,Home & Kitchen,Cookware Set,3,3153383.0,Isfahan,Online,9460149.0
ORD1585,2026-02-03,1004,Beauty,Skincare Cream,2,670896.0,Mashhad,Online,1341792.0
ORD1465,2026-06-10,1063,Home & Kitchen,Blender,1,1763962.0,Shiraz,Cash,1763962.0
ORD1499,2026-01-14,1264,Home & Kitchen,Blender,2,1940028.0,Mashhad,Cash,3880056.0
ORD1441,2026-06-22,1043,Sports,Bicycle,1,9161829.0,Isfahan,Online,9161829.0
ORD1626,2026-04-23,1047,Clothing,Jeans,1,795204.0,Tabriz,Credit Card,795204.0
ORD1251,2026-02-26,1013,Clothing,Running Shoes,1,2159554.0,Shiraz,Credit Card,2159554.0
ORD1802,2026-01-09,1074,Home & Kitchen,Cookware Set,2,3239059.0,Isfahan,Cash,6478118.0
ORD1757,2026-03-03,1117,Sports,Yoga Mat,1,452409.0,Isfahan,Cash,452409.0
ORD1074,2026-04-30,1109,Books,Comic Book,2,154964.0,Shiraz,Credit Card,309928.0
ORD1663,2026-06-25,1027,Sports,Tennis Racket,-1,,Isfahan,Online,
ORD1601,2026-02-21,1291,Electronics,Mobile Phone,1,17362340.0,Isfahan,Credit Card,17362340.0
ORD1128,2026-02-20,1278,Home & Kitchen,Lamp,2,829001.0,,Cash,1658002.0
ORD1693,2026-05-21,1034,Electronics,Smart Watch,2,5752713.0,Tehran,Credit Card,11505426.0
ORD1489,2026-06-05,1089,Sports,Football,2,637465.0,Tehran,Credit Card,1274930.0
ORD1109,2026-04-15,1123,Books,Cookbook,1,279695.0,Shiraz,Online,279695.0
ORD1025,2026-01-21,1248,Electronics,Mobile Phone,4,18821306.0,Tehran,Online,75285224.0
ORD1700,2026-06-15,1143,Sports,Bicycle,1,8544321.0,Tabriz,Cash,8544321.0
ORD1323,2026-05-03,1160,Books,Biography,5,270141.0,Tabriz,Credit Card,1350705.0
ORD1656,2026-03-24,1287,Books,Comic Book,2,144810.0,Tehran,Credit Card,289620.0
ORD1283,2026-01-19,1227,Clothing,T-Shirt,1,327262.0,Shiraz,Cash,327262.0
ORD1308,2026-03-09,1187,Electronics,Laptop,1,26180744.0,Isfahan,Credit Card,26180744.0
ORD1408,2026-02-17,1285,Home & Kitchen,Blender,1,1916750.0,Shiraz,Credit Card,1916750.0
ORD1620,2026-01-11,1106,Home & Kitchen,Cookware Set,1,3038474.0,Tabriz,Credit Card,3038474.0
ORD1285,2026-07-01,1260,Home & Kitchen,Vacuum Cleaner,4,4165878.0,Mashhad,Credit Card,16663512.0
ORD1455,2026-02-22,1291,Clothing,Hat,1,249705.0,Mashhad,Cash,249705.0
ORD1353,2026-05-11,1232,Beauty,Sunscreen,2,425731.0,Shiraz,Cash,851462.0
ORD1318,2026-01-14,1087,Home & Kitchen,Lamp,2,850526.0,Tabriz,Credit Card,1701052.0
ORD1218,2026-04-28,1294,Beauty,Skincare Cream,1,716758.0,Tehran,Credit Card,716758.0
ORD1239,2026-03-26,1269,HOME & KITCHEN,Lamp,-1,853503.0,Mashhad,Online,-853503.0
ORD1385,2026-05-20,1277,Beauty,Shampoo,-1,230682.0,Shiraz,Cash,-230682.0
ORD1099,2026-01-07,1192,Clothing,Jacket,1,1405893.0,Isfahan,Online,1405893.0
ORD1769,2026-05-23,1100,Electronics,Headphones,3,1261681.0,Shiraz,Credit Card,3785043.0
ORD1192,2026-01-08,1205,home & kitchen,Cookware Set,2,3405014.0,,Credit Card,6810028.0
ORD1024,2026-01-29,1122,Books,Biography,2,278031.0,Isfahan,Credit Card,556062.0
ORD1191,2026-06-07,1266,Sports,Bicycle,1,9040213.0,Tehran,Online,9040213.0
ORD1277,2026-06-15,1196,Electronics,Mobile Phone,1,18431896.0,Isfahan,Credit Card,18431896.0
ORD1564,2026-04-25,1108,Books,Comic Book,1,146414.0,Mashhad,Cash,146414.0
ORD1542,2026-06-06,1289,ELECTRONICS,Mobile Phone,2,17218491.0,Mashhad,Online,34436982.0
ORD1534,2026-03-01,1010,Sports,Football,1,625822.0,Tabriz,Cash,625822.0
ORD1132,2026-04-21,1128,Sports,Football,2,563507.0,Isfahan,Online,1127014.0
ORD1477,2026-02-05,1043,Home & Kitchen,Cookware Set,1,32275730.0,Mashhad,Credit Card,32275730.0
ORD1264,2026-03-27,1180,Beauty,Skincare Cream,3,742265.0,Mashhad,Cash,2226795.0
ORD1252,2026-04-06,1041,Sports,Football,1,633709.0,Mashhad,Credit Card,633709.0
ORD1577,2026-05-12,1159,Books,Biography,3,299111.0,Mashhad,Cash,897333.0
ORD1070,2026-03-18,1209,Beauty,Skincare Cream,3,730491.0,Tabriz,Credit Card,2191473.0
ORD1371,2026-03-18,1029,Sports,Yoga Mat,3,,Mashhad,Credit Card,
ORD1115,2026-05-31,1144,Beauty,Lipstick,1,402584.0,Tabriz,Online,402584.0
ORD1263,2026-04-02,1123,Home & Kitchen,Vacuum Cleaner,3,4513197.0,Tehran,Credit Card,13539591.0
ORD1532,2026-04-01,1072,Books,Novel,3,269865.0,Tabriz,Online,809595.0
ORD1771,2026-03-22,1128,Clothing,Hat,2,263858.0,Shiraz,Credit Card,527716.0
ORD1449,2026-05-18,1234,Home & Kitchen,Blender,1,1680048.0,Isfahan,Cash,1680048.0
ORD1002,2026-03-01,1013,Electronics,Laptop,1,25927975.0,Tabriz,Online,25927975.0
ORD1229,2026-04-29,1029,Home & Kitchen,Lamp,1,918883.0,Shiraz,Cash,918883.0
ORD1766,2026-06-06,1094,Clothing,Jacket,2,1562990.0,Isfahan,Credit Card,3125980.0
ORD1328,2026-04-12,1148,Beauty,Sunscreen,1,444211.0,,Cash,444211.0
ORD1739,2026-06-12,1074,Books,Novel,1,245077.0,Tehran,Cash,245077.0
ORD1199,2026-05-02,1043,Home & Kitchen,Sofa,2,12537361.0,Tehran,Cash,25074722.0
ORD1390,2026-03-15,1220,Beauty,Shampoo,2,237265.0,Tehran,Online,474530.0
ORD1379,2026-04-03,1238,Beauty,Shampoo,1,212321.0,Tabriz,Credit Card,212321.0
ORD1065,2026-01-08,1091,SPORTS,Bicycle,1,8558066.0,Tehran,Credit Card,8558066.0
ORD1553,2026-03-14,1049,Beauty,Sunscreen,1,454387.0,Isfahan,Cash,454387.0
ORD1501,2026-04-05,1288,Electronics,Smart Watch,2,6034652.0,Mashhad,Credit Card,12069304.0
ORD1735,2026-04-16,1247,Beauty,Lipstick,3,,Tabriz,Online,
